condition,symptoms
actinic keratosis,"abnormal appearing skin,skin lesion,skin growth,symptoms of the face,itching of skin,skin dryness, peeling, scaliness, or roughness,skin rash"
cornea infection,"lip swelling,symptoms of eye,spots or clouds in vision,itchiness of eye,swollen eye"
erectile dysfunction,"retention of urine,involuntary urination,frequent urination,blood in urine,impotence,excessive urination at night,loss of sex drive"
acute pancreatitis,"sharp chest pain,abusing alcohol,sharp abdominal pain,nausea,burning abdominal pain,lower body pain"
asthma,"shortness of breath,cough,fever,difficulty breathing,coughing up sputum"
onychomycosis,"skin swelling,abnormal appearing skin,skin growth,skin on leg or foot looks infected,skin dryness, peeling, scaliness, or roughness,skin rash"
chronic glaucoma,"white discharge from eye,spots or clouds in vision,itchiness of eye,eye burns or stings"
pain after an operation,"sharp chest pain,leg pain,headache,lower abdominal pain,neck pain"
interstitial lung disease,"sore throat,cough,wheezing,fever,sleepiness"
spinal stenosis,"leg pain,arm pain,neck pain,problems with movement,shoulder pain,lower body pain"
multiple sclerosis,"dizziness,headache,problems with movement,focal weakness,disturbance of memory,fatigue"
chondromalacia of the patella,knee pain
presbyopia,"diminished vision,pain in eye,abnormal movement of eyelid,foreign body sensation in eye"
paroxysmal ventricular tachycardia,"chest tightness,fainting,weight gain"
sinus bradycardia,"shortness of breath,sharp chest pain,dizziness,irregular heartbeat,fainting,weakness,decreased heart rate"
conjunctivitis due to virus,"nasal congestion,pain in eye,lacrimation,fever,swollen eye"
injury to the shoulder,"back pain,neck pain,bones are painful,elbow pain,shoulder stiffness or tightness,muscle cramps, contractures, or spasms"
contact dermatitis,"skin swelling,skin lesion,acne or pimples,skin moles,allergic reaction,swollen eye,skin dryness, peeling, scaliness, or roughness"
sickle cell crisis,"sharp abdominal pain,vomiting,back pain,low back pain,burning abdominal pain,ache all over"
rhabdomyolysis,"depressive or psychotic symptoms,leg pain,arm pain"
hemiplegia,"difficulty speaking,arm stiffness or tightness,weakness,loss of sensation"
gout,"hand or finger pain,hand or finger swelling,wrist swelling,knee pain,ankle pain,leg swelling"
infection of open wound,hand or finger swelling
stress incontinence,"painful urination,blood in urine,hot flashes,intermenstrual bleeding"
substance-related mental disorder,"anxiety and nervousness,insomnia,hostile behavior,feeling ill"
dementia,"depressive or psychotic symptoms,hostile behavior,problems with movement,disturbance of memory,delusions or hallucinations"
drug reaction,"throat swelling,nausea,peripheral edema"
dermatitis due to sun exposure,"skin swelling,lack of growth,skin lesion,acne or pimples,irregular appearing scalp,skin moles,skin rash"
eustachian tube dysfunction (ear disorder),"sore throat,nasal congestion,ear pain,plugged feeling in ear,allergic reaction,abnormal breathing sounds,swollen or red tonsils"
pilonidal cyst,"skin growth,irregular appearing scalp,pelvic pain,lower body pain"
eczema,"skin swelling,irregular appearing scalp,allergic reaction,itching of skin,skin irritation,warts,skin rash"
joint effusion,"wrist pain,wrist swelling,ankle pain,elbow pain,knee swelling,knee stiffness or tightness"
thrombophlebitis,"skin swelling,arm pain,arm swelling,ache all over,lymphedema"
kidney stone,"retention of urine,suprapubic pain,vomiting,frequent urination,blood in urine,back pain,low back pain,side pain"
conduct disorder,"depression,fainting,temper problems"
acute bronchitis,"shortness of breath,sharp chest pain,sore throat,cough,wheezing,fever,coryza"
lymphedema,"throat swelling,abnormal appearing skin,leg swelling,foot or toe swelling,lymphedema,fluid retention"
callus,"skin swelling,abnormal appearing skin,foot or toe pain"
sialoadenitis,"sore throat,facial pain,swollen lymph nodes,peripheral edema,neck mass,neck swelling"
arthritis of the hip,"pelvic pain,knee pain,ache all over,lower body pain,joint pain,groin pain,hip stiffness or tightness"
ovarian cyst,"sharp abdominal pain,nausea,lower abdominal pain,intermenstrual bleeding,pelvic pain,painful menstruation"
oral mucosal lesion,"sore throat,cough,facial pain,mouth ulcer,fever"
chronic sinusitis,"sore throat,frontal headache,fever,sinus congestion,painful sinuses"
benign prostatic hyperplasia (bph),"retention of urine,swelling of scrotum,involuntary urination,impotence,symptoms of prostate,low urine output"
neuralgia,"hip pain,headache,back pain,low back pain,loss of sensation"
chalazion,"skin growth,foreign body sensation in eye,eye redness,swollen eye,eyelid swelling"
foreign body in the throat,"shortness of breath,throat swelling,vomiting,infant spitting up"
eczema,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin irritation,skin rash"
osteoarthritis,"back pain,elbow pain,knee swelling,muscle pain"
neurosis,"anxiety and nervousness,hostile behavior,excessive anger,obsessions and compulsions"
paroxysmal ventricular tachycardia,"shortness of breath,dizziness,irregular heartbeat,fainting,weight gain,decreased heart rate"
allergy,"peripheral edema,fluid retention,skin rash"
ankylosing spondylitis,"leg pain,knee pain,elbow pain,ache all over,lower body pain,stiffness all over"
temporary or benign blood in urine,"suprapubic pain,sharp abdominal pain,painful urination,involuntary urination,blood in urine,back pain,regurgitation,regurgitation.1,symptoms of bladder"
idiopathic absence of menstruation,"sharp abdominal pain,nausea,vaginal itching,lower abdominal pain,pelvic pain,heartburn,pain or soreness of breast,absence of menstruation,long menstrual periods"
rectal disorder,"blood in stool,diarrhea,itching of the anus"
hydrocele of the testicle,"groin mass,symptoms of the scrotum and testes,swelling of scrotum,pain in testicles,mass in scrotum,groin pain"
cholecystitis,"sharp chest pain,vomiting,nausea,burning abdominal pain,lower body pain,upper abdominal pain,regurgitation.1"
sinus bradycardia,"shortness of breath,sharp chest pain,dizziness,chest tightness,fainting,weakness,increased heart rate"
sickle cell anemia,"dry lips,fever,ache all over"
angina,"shortness of breath,sharp chest pain,dizziness,chest tightness,palpitations,hot flashes"
eye alignment disorder,"lack of growth,diminished vision,symptoms of eye,eye moves abnormally"
autism,"seizures,long menstrual periods"
hypokalemia,"shortness of breath,sharp chest pain,fainting,vomiting,diarrhea,loss of sensation"
pain after an operation,"leg pain,sharp abdominal pain,vomiting,headache,back pain,neck pain,low back pain,side pain"
premature ventricular contractions (pvcs),"shortness of breath,sharp chest pain,fainting,sleepiness"
sciatica,"hip pain,low back pain,problems with movement,loss of sensation,unusual color or odor to urine"
cardiac arrest,"sharp chest pain,palpitations,arm swelling,weakness,decreased heart rate"
seasonal allergies (hay fever),"sore throat,cough,ear pain,lacrimation,itchiness of eye,coryza"
substance-related mental disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,hostile behavior,feeling ill"
bursitis,"hip pain,arm pain,arm stiffness or tightness,knee pain,elbow pain,knee swelling,shoulder stiffness or tightness,elbow swelling"
stress incontinence,"retention of urine,painful urination,intermenstrual bleeding"
infectious gastroenteritis,"diarrhea,burning abdominal pain,chills,fluid retention"
intestinal disease,"sharp chest pain,fainting,vomiting,nausea,diarrhea,burning abdominal pain"
idiopathic painful menstruation,"sharp abdominal pain,lower abdominal pain,vaginal discharge,pelvic pain,cramps and spasms,long menstrual periods,unpredictable menstruation,painful menstruation"
urethral valves,"suprapubic pain,elbow weakness,lower abdominal pain"
urinary tract obstruction,"sharp abdominal pain,painful urination,back pain,symptoms of prostate"
tinnitus of unknown cause,"dizziness,diminished hearing,headache,ear pain,itchy ear(s)"
stye,"abnormal appearing skin,mass on eyelid,swollen eye"
ulcerative colitis,"nausea,swollen lymph nodes,rectal bleeding"
urethral stricture,"retention of urine,suprapubic pain,symptoms of the scrotum and testes,painful urination,blood in urine,symptoms of bladder"
acute bronchiolitis,"nasal congestion,vomiting,wheezing,decreased appetite,fever,difficulty breathing"
cystitis,"retention of urine,painful urination,involuntary urination,lower abdominal pain,blood in urine,pelvic pain"
acute bronchiolitis,"cough,irritable infant,decreased appetite,pulling at ears,hurts to breath"
anxiety,"depressive or psychotic symptoms,sharp chest pain,abnormal involuntary movements,palpitations,headache,increased heart rate"
diaper rash,"cough,irritable infant,vomiting,diarrhea,temper problems,skin rash,diaper rash"
injury to the leg,"foot or toe pain,knee swelling,problems with movement,ankle swelling"
nerve impingement near the shoulder,"hand or finger stiffness or tightness,neck pain,elbow pain,shoulder pain,shoulder stiffness or tightness"
croup,"cough,nasal congestion,fever"
hyperemesis gravidarum,"headache,nausea,diarrhea,pain during pregnancy,vomiting blood,weakness"
macular degeneration,"diminished vision,double vision,symptoms of eye,pain in eye"
injury to internal organ,"sharp chest pain,frequent urination,back pain"
vulvodynia,"nausea,vaginal pain,side pain"
food allergy,"cough,nasal congestion,abnormal appearing skin,allergic reaction,itching of skin,skin rash"
pain disorder affecting the neck,"dizziness,insomnia,headache,arm pain,back pain,neck pain,low back pain"
sepsis,"cough,vomiting,difficulty breathing,chills"
hydatidiform mole,"dizziness,sharp abdominal pain,diminished vision"
diaper rash,"nasal congestion,fever,temper problems,skin rash"
seborrheic keratosis,"skin lesion,irregular appearing scalp,itching of skin,skin rash"
poisoning due to antimicrobial drugs,"shortness of breath,abnormal involuntary movements,peripheral edema,problems with movement,allergic reaction,skin rash"
marijuana abuse,"anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol,excessive anger,delusions or hallucinations,fears and phobias,low self-esteem"
skin disorder,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,itching of skin"
carbon monoxide poisoning,"depressive or psychotic symptoms,headache,nausea"
bell palsy,"abnormal involuntary movements,headache,weakness,focal weakness,symptoms of the face"
gastroduodenal ulcer,"blood in stool,sharp abdominal pain,vomiting,nausea,changes in stool appearance"
conjunctivitis due to allergy,"nasal congestion,pain in eye,eye redness,itchiness of eye,eye burns or stings,swollen eye"
sensorineural hearing loss,"dizziness,hoarse voice,diminished hearing,ringing in ear,plugged feeling in ear"
acute bronchospasm,"sharp chest pain,sore throat,cough,vomiting,wheezing,fever,coryza"
dental caries,"skin swelling,facial pain,peripheral edema,ear pain,gum pain,skin irritation"
seborrheic keratosis,"skin swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,skin irritation,warts"
complex regional pain syndrome,"leg pain,hand or finger pain,back pain,neck pain,low back pain,foot or toe pain,loss of sensation"
idiopathic painful menstruation,"sharp abdominal pain,vaginal itching,lower abdominal pain,vaginal discharge,pelvic pain,blood clots during menstrual periods,heavy menstrual flow,painful menstruation"
envenomation from spider or animal bite,arm swelling
fracture of the rib,"shortness of breath,sharp chest pain,hip pain,bones are painful,shoulder pain,ache all over,rib pain,back mass or lump"
pelvic inflammatory disease,"suprapubic pain,vomiting,nausea,painful urination,vaginal discharge,burning abdominal pain"
obstructive sleep apnea (osa),"difficulty in swallowing,difficulty breathing,abnormal breathing sounds,sweating"
conjunctivitis,"sore throat,cough,pain in eye,eye redness,itchiness of eye,fever,coryza"
acute bronchitis,"shortness of breath,sharp chest pain,sore throat,nasal congestion,headache,wheezing,fever,difficulty breathing,coryza,congestion in chest"
choledocholithiasis,"sharp chest pain,jaundice,vomiting"
kidney stone,"suprapubic pain,sharp abdominal pain,vomiting,painful urination,blood in urine,back pain,low back pain"
pelvic inflammatory disease,"suprapubic pain,sharp abdominal pain,vomiting,vaginal discharge"
jaw disorder,"difficulty in swallowing,toothache,peripheral edema,neck mass"
conjunctivitis due to virus,"nasal congestion,pain in eye,eye redness,lacrimation,swollen eye"
allergy,"cough,lip swelling,abnormal appearing skin,peripheral edema,allergic reaction,swollen eye"
stroke,"depressive or psychotic symptoms,abnormal involuntary movements,headache,problems with movement,focal weakness,seizures"
vaginitis,"sharp abdominal pain,vaginal itching,painful urination,pain during pregnancy,vaginal redness"
social phobia,"abusing alcohol,excessive appetite,excessive anger,delusions or hallucinations,fears and phobias"
infectious gastroenteritis,"sharp abdominal pain,nausea,diarrhea,decreased appetite,fever,fluid retention,flu-like syndrome"
liver disease,"shortness of breath,blood in stool,jaundice,sharp abdominal pain,nausea,diarrhea,peripheral edema,weakness,upper abdominal pain,unusual color or odor to urine"
vaginal cyst,"lower abdominal pain,vaginal discharge,pain during pregnancy,vaginal pain,problems during pregnancy,cramps and spasms,heavy menstrual flow"
brachial neuritis,"headache,hand or finger pain,neck pain,low back pain,elbow pain,hand or finger weakness"
delirium,"abnormal involuntary movements,problems with movement,slurring words,disturbance of memory"
malignant hypertension,"depressive or psychotic symptoms,insomnia,vomiting,lower body pain"
bursitis,"leg pain,hip pain,arm pain,arm stiffness or tightness,knee swelling,leg swelling,elbow swelling"
degenerative disc disease,"arm pain,low back pain,loss of sensation,paresthesia,shoulder pain,joint pain"
balanitis,"suprapubic pain,abnormal appearing skin,itching of skin,penis redness,diaper rash"
crohn disease,"blood in stool,nausea,pain of the anus,regurgitation,regurgitation.1"
liver disease,"blood in stool,jaundice,diarrhea,weakness,side pain,upper abdominal pain"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,vaginal discharge,spotting or bleeding during pregnancy,uterine contractions"
chronic pancreatitis,"abusing alcohol,vomiting,nausea,skin growth,ache all over"
anemia,"shortness of breath,vomiting blood,weakness,melena,nosebleed"
skin polyp,"skin swelling,abnormal appearing skin,skin growth,skin dryness, peeling, scaliness, or roughness"
impetigo,"nasal congestion,mouth ulcer,itching of skin,skin rash,sore in nose"
adjustment reaction,"anxiety and nervousness,insomnia,restlessness,excessive anger"
dental caries,"restlessness,ear pain,jaw swelling,neck swelling,gum pain,mouth pain,pain in gums"
subarachnoid hemorrhage,"fainting,vomiting,headache"
thyroid nodule,"hoarse voice,diminished hearing,difficulty in swallowing,back weakness,neck mass,fatigue"
spondylolisthesis,"leg pain,hip pain,back pain,neck pain,paresthesia,leg weakness"
paroxysmal ventricular tachycardia,"shortness of breath,irregular heartbeat,fainting,decreased heart rate"
cranial nerve palsy,"difficulty speaking,facial pain,abnormal movement of eyelid"
rectal disorder,"sharp abdominal pain,diarrhea,pain of the anus,burning abdominal pain,heartburn,cramps and spasms,constipation"
dissociative disorder,"back weakness,excessive anger,disturbance of memory"
sickle cell crisis,"sharp chest pain,leg pain,vomiting,burning abdominal pain,knee pain"
urinary tract obstruction,"sharp abdominal pain,painful urination,blood in urine,back pain,side pain,symptoms of prostate,excessive urination at night"
tension headache,"dizziness,headache,nausea,neck pain,back cramps or spasms"
macular degeneration,"double vision,pain in eye,abnormal movement of eyelid,itchiness of eye,blindness"
cervicitis,"suprapubic pain,nausea,vaginal itching,pain during pregnancy"
intestinal disease,"sharp chest pain,sharp abdominal pain,vomiting,nausea,burning abdominal pain"
fracture of the leg,"knee pain,ankle pain,knee weakness,knee swelling,problems with movement,leg swelling"
hypoglycemia,"abnormal involuntary movements,feeling ill,problems with movement,weakness,decreased appetite,sweating"
ischemic heart disease,"sharp chest pain,dizziness,chest tightness,palpitations,throat feels tight,fatigue"
deviated nasal septum,"sore throat,facial pain,apnea,nosebleed"
amyotrophic lateral sclerosis (als),"abnormal involuntary movements,difficulty speaking,difficulty in swallowing,weakness,leg cramps or spasms"
corneal abrasion,"white discharge from eye,diminished vision,lacrimation,itchiness of eye,eyelid swelling"
lymphedema,"throat swelling,leg pain,abnormal appearing skin,peripheral edema,foot or toe swelling,lymphedema,fluid retention"
trichomonas infection,"sharp abdominal pain,vomiting,lower abdominal pain,vaginal discharge,pain during pregnancy,unpredictable menstruation"
fungal infection of the hair,"skin swelling,itchy scalp,skin rash"
fracture of the rib,"side pain,rib pain,hurts to breath"
intestinal malabsorption,"cough,flatulence,sharp abdominal pain"
prostatitis,"sharp abdominal pain,painful urination,frequent urination,blood in urine,back pain,impotence,chills"
seborrheic dermatitis,"abnormal appearing skin,skin lesion,skin growth,skin dryness, peeling, scaliness, or roughness,too little hair,dry or flaky scalp"
pleural effusion,"shortness of breath,sharp chest pain,weakness,side pain,difficulty breathing,rib pain"
sebaceous cyst,"abnormal appearing skin,skin lesion,skin growth,skin moles,hand or finger lump or mass,back mass or lump,arm lump or mass"
diabetic retinopathy,"double vision,pain in eye,abnormal movement of eyelid,spots or clouds in vision,lacrimation"
peripheral nerve disorder,"dizziness,abnormal involuntary movements,leg pain,foot or toe pain,disturbance of memory,paresthesia,arm weakness,leg weakness"
viral warts,"skin swelling,skin lesion,skin growth,skin moles,bumps on penis"
sprain or strain,"leg pain,headache,arm pain,back pain,neck pain,foot or toe pain,shoulder pain"
acute pancreatitis,"sharp chest pain,abusing alcohol,sharp abdominal pain,vomiting,back pain,side pain,upper abdominal pain"
cholecystitis,"sharp chest pain,sharp abdominal pain,vomiting,burning abdominal pain,side pain,lower body pain,upper abdominal pain,stomach bloating,regurgitation.1,symptoms of the kidneys"
schizophrenia,"depressive or psychotic symptoms,insomnia,temper problems,fears and phobias"
hyperemesis gravidarum,"sharp abdominal pain,vomiting,vomiting blood,weakness,problems during pregnancy"
skin polyp,"skin swelling,skin lesion,acne or pimples,itching of skin,warts"
acute kidney injury,"shortness of breath,vomiting,nausea,peripheral edema,kidney mass,symptoms of the kidneys"
dental caries,"toothache,facial pain,peripheral edema,ear pain,mouth pain"
lipoma,"skin lesion,neck mass,bones are painful,back mass or lump,shoulder lump or mass"
acute bronchitis,"nasal congestion,fever,difficulty breathing,coughing up sputum"
acute sinusitis,"sore throat,facial pain,ear pain,frontal headache,fever,coughing up sputum,coryza,sinus congestion"
diverticulosis,"blood in stool,lower abdominal pain,melena"
parkinson disease,"dizziness,abnormal involuntary movements,focal weakness,stiffness all over"
sinus bradycardia,"chest tightness,palpitations,irregular heartbeat,fainting,feeling ill,weakness,decreased heart rate"
chronic knee pain,"leg pain,back pain,knee weakness,knee swelling"
nose disorder,"sore throat,nasal congestion,facial pain,fever,coryza"
narcolepsy,"shortness of breath,headache,fatigue,apnea"
prostatitis,"retention of urine,painful urination,frequent urination,lower abdominal pain,blood in urine,back pain,chills"
hyperkalemia,"depressive or psychotic symptoms,sharp chest pain,feeling ill,nausea,weakness,decreased heart rate"
developmental disability,"difficulty speaking,seizures,delusions or hallucinations,temper problems"
erectile dysfunction,"retention of urine,frequent urination,blood in urine,loss of sex drive"
cystitis,"sharp abdominal pain,frequent urination,lower abdominal pain,back pain,symptoms of bladder"
cystitis,"suprapubic pain,sharp abdominal pain,painful urination,frequent urination,back pain,pelvic pain"
diaper rash,"blood in stool,vomiting,temper problems,diaper rash"
conduct disorder,"depression,depressive or psychotic symptoms,abusing alcohol,fainting,hostile behavior"
paroxysmal ventricular tachycardia,"shortness of breath,sharp chest pain,dizziness,chest tightness,irregular heartbeat,fainting,weight gain,decreased heart rate,increased heart rate,fatigue"
neuralgia,"hip pain,arm pain,low back pain,loss of sensation,shoulder pain"
acute pancreatitis,"sharp chest pain,vomiting,diarrhea,burning abdominal pain,lower body pain,upper abdominal pain"
injury to the leg,"knee pain,foot or toe pain,knee stiffness or tightness,leg swelling,ankle swelling"
spinal stenosis,"hip pain,back pain,neck pain,problems with movement,loss of sensation,paresthesia,lower body pain"
bipolar disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,abusing alcohol,fears and phobias,obsessions and compulsions"
pyogenic skin infection,"skin swelling,leg pain,hand or finger pain,hand or finger swelling,abnormal appearing skin,skin lesion,foot or toe pain,foot or toe swelling,skin rash"
insect bite,"skin swelling,hand or finger swelling,peripheral edema,fluid retention"
liver disease,"shortness of breath,blood in stool,peripheral edema,heartburn,weakness,side pain,unusual color or odor to urine"
sick sinus syndrome,"palpitations,weakness,increased heart rate"
pyelonephritis,"suprapubic pain,sharp abdominal pain,painful urination,frequent urination,back pain,low back pain,side pain"
nerve impingement near the shoulder,"arm pain,hand or finger stiffness or tightness,neck pain,elbow pain,problems with movement,shoulder pain,shoulder stiffness or tightness"
drug abuse (cocaine),"drug abuse,delusions or hallucinations,fears and phobias"
aortic valve disease,"shortness of breath,sharp chest pain,palpitations,irregular heartbeat,difficulty breathing,lymphedema"
peripheral nerve disorder,"leg pain,back pain,problems with movement,loss of sensation,disturbance of memory,paresthesia,arm weakness"
intracerebral hemorrhage,"depressive or psychotic symptoms,dizziness,vomiting,headache,nausea,diminished vision,focal weakness,seizures"
viral exanthem,"vomiting,fever,itching of skin"
esophagitis,"shortness of breath,sharp chest pain,sharp abdominal pain,nausea,upper abdominal pain"
obstructive sleep apnea (osa),"abnormal involuntary movements,mouth dryness,sleepiness,abnormal breathing sounds,sweating"
flu,"sore throat,cough,nausea,diarrhea,fever,ache all over,coryza"
acute sinusitis,"nasal congestion,facial pain,ear pain,frontal headache,fever,coughing up sputum,sinus congestion"
osteoarthritis,"back pain,ankle pain,knee weakness,elbow pain,muscle pain"
common cold,"sore throat,vomiting,headache,wheezing,fever,coryza,flu-like syndrome"
hypoglycemia,"depressive or psychotic symptoms,abnormal involuntary movements,fainting,problems with movement,weakness,decreased appetite,sleepiness,sweating"
sickle cell anemia,"dry lips,fever,temper problems"
common cold,"sore throat,cough,nasal congestion,ear pain,fever,coryza"
hypovolemia,"dizziness,sharp abdominal pain,nausea,decreased appetite,fever"
uterine atony,"blood in urine,spotting or bleeding during pregnancy"
abscess of nose,"sore throat,irritable infant,vomiting,coryza,sinus congestion"
gastrointestinal hemorrhage,"dizziness,vomiting,nausea,vomiting blood,changes in stool appearance,rectal bleeding"
thrombophlebitis,"skin swelling,leg pain,arm pain,arm swelling,lymphedema"
attention deficit hyperactivity disorder (adhd),"anxiety and nervousness,lack of growth,hostile behavior,antisocial behavior"
gout,"wrist pain,knee pain,knee swelling,leg swelling,foot or toe swelling,joint pain,ankle swelling"
depression,"depression,insomnia,abusing alcohol,hostile behavior,drug abuse,temper problems"
irritable bowel syndrome,"insomnia,flatulence,nausea,upper abdominal pain"
drug abuse,"anxiety and nervousness,depression,abusing alcohol,hostile behavior,drug abuse,delusions or hallucinations,sweating"
foreign body in the throat,"shortness of breath,sore throat,throat swelling,difficulty in swallowing,infant spitting up"
head injury,"headache,lip swelling,facial pain,neck pain"
heart attack,"shortness of breath,sharp chest pain,irregular heartbeat,fainting,arm pain,heartburn,increased heart rate,sweating"
eating disorder,"depression,insomnia,abusing alcohol,acne or pimples,weight gain,decreased appetite"
gallstone,"sharp chest pain,sharp abdominal pain,vomiting,lower body pain,upper abdominal pain,regurgitation.1"
conjunctivitis,"sore throat,cough,pain in eye,lacrimation,coryza,swollen eye"
fungal infection of the hair,"skin lesion,acne or pimples,skin growth,pelvic pain,itching of skin"
raynaud disease,"hand or finger pain,hand or finger swelling"
stomach cancer,"difficulty in swallowing,sharp abdominal pain,vomiting,diarrhea,heartburn"
marijuana abuse,"depression,depressive or psychotic symptoms,temper problems,fears and phobias,low self-esteem"
marijuana abuse,"anxiety and nervousness,depressive or psychotic symptoms,difficulty speaking,hostile behavior,drug abuse,excessive anger"
allergy,"cough,abnormal appearing skin,peripheral edema,itchiness of eye,fluid retention"
brachial neuritis,"headache,arm pain,back pain,neck pain,elbow pain,shoulder pain,hand or finger weakness"
alcohol withdrawal,"depressive or psychotic symptoms,sharp chest pain,abnormal involuntary movements,abusing alcohol,fainting,vomiting,antisocial behavior"
vaginitis,"painful urination,lower abdominal pain,pain during pregnancy,pelvic pain,vaginal pain,vaginal redness"
hypoglycemia,"dizziness,abnormal involuntary movements,feeling ill,problems with movement,weakness,decreased appetite,sleepiness,sweating"
macular degeneration,"double vision,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,lacrimation,bleeding from eye"
tooth abscess,"toothache,facial pain,neck swelling"
macular degeneration,"symptoms of eye,abnormal movement of eyelid,spots or clouds in vision,bleeding from eye"
nose disorder,"sore throat,nasal congestion,headache,facial pain,ear pain,difficulty breathing,sinus congestion,painful sinuses,nosebleed"
erectile dysfunction,"involuntary urination,impotence,symptoms of prostate,excessive urination at night"
trigeminal neuralgia,"abnormal involuntary movements,toothache,facial pain,symptoms of the face"
psychosexual disorder,"depression,involuntary urination,fatigue,premature ejaculation"
ischemic heart disease,"shortness of breath,dizziness,chest tightness,palpitations,peripheral edema,difficulty breathing,fatigue,lymphedema"
acute bronchiolitis,"shortness of breath,irritable infant,wheezing,fever,hurts to breath"
injury to the trunk,"wrist pain,neck pain,low back pain,bones are painful,shoulder pain,lower body pain"
acute pancreatitis,"abusing alcohol,sharp abdominal pain,nausea,diarrhea,back pain,side pain,upper abdominal pain,hemoptysis"
sickle cell crisis,"leg pain,hip pain,sharp abdominal pain,vomiting,arm pain,back pain,low back pain,burning abdominal pain,ache all over"
vaginal cyst,"lower abdominal pain,vaginal discharge,intermenstrual bleeding,pain during pregnancy,blood clots during menstrual periods,heavy menstrual flow"
osteoarthritis,"hip pain,hand or finger pain,back pain,knee pain,knee weakness,elbow pain,knee swelling,muscle pain,joint pain"
nose disorder,"cough,facial pain,fever,sinus congestion,painful sinuses,nosebleed"
otitis media,"cough,fluid in ear,fever,coryza"
obstructive sleep apnea (osa),"mouth dryness,difficulty breathing,fatigue,apnea"
hypokalemia,"shortness of breath,fainting,sharp abdominal pain,nausea,diarrhea"
drug poisoning due to medication,"depression,depressive or psychotic symptoms,abusing alcohol,drug abuse,lip swelling,slurring words"
muscle spasm,"sharp chest pain,headache,low back pain,loss of sensation"
lateral epicondylitis (tennis elbow),"hand or finger pain,wrist pain,arm pain,loss of sensation,joint pain"
conduct disorder,"lack of growth,abusing alcohol,hostile behavior,excessive anger,seizures,temper problems,hysterical behavior"
acanthosis nigricans,"skin lesion,acne or pimples,weight gain"
neurosis,"depressive or psychotic symptoms,insomnia,drug abuse,headache,delusions or hallucinations"
problem during pregnancy,"vomiting,back pain,problems during pregnancy"
joint effusion,"wrist swelling,knee pain,ankle pain,knee swelling,problems with movement"
appendicitis,"diarrhea,lower abdominal pain,burning abdominal pain,decreased appetite,side pain,fever,stomach bloating"
interstitial lung disease,"shortness of breath,cough,nasal congestion,headache,wheezing,sleepiness"
tinnitus of unknown cause,"dizziness,hoarse voice,headache,ear pain,ringing in ear,itchy ear(s)"
impetigo,"nasal congestion,skin swelling,fever"
hepatitis due to a toxin,"depression,feeling ill,nausea,rectal bleeding,itching of skin"
hydronephrosis,"pain in testicles,sharp abdominal pain,nausea,lower abdominal pain,side pain"
bipolar disorder,"depressive or psychotic symptoms,excessive anger,delusions or hallucinations,fears and phobias"
gastritis,"sharp chest pain,headache,nausea,diarrhea,burning abdominal pain,fever,regurgitation.1"
postpartum depression,"depression,drug abuse,intermenstrual bleeding,delusions or hallucinations"
interstitial lung disease,"shortness of breath,sore throat,headache,wheezing"
impetigo,"nasal congestion,abnormal appearing skin,mouth ulcer,itching of skin"
gout,"hand or finger pain,hand or finger swelling,knee pain,leg swelling,joint pain,ankle swelling"
fracture of the jaw,"facial pain,pain in eye,jaw swelling,bones are painful,mouth pain"
ileus,"vomiting,headache,nausea,diarrhea,lower abdominal pain,burning abdominal pain,constipation"
ovarian torsion,"skin swelling,groin mass,sharp abdominal pain,lower abdominal pain,pelvic pain"
joint effusion,"ankle pain,problems with movement,knee stiffness or tightness,ankle swelling"
nose disorder,"cough,nasal congestion,ear pain"
intertrigo (skin condition),"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin dryness, peeling, scaliness, or roughness"
acute pancreatitis,"sharp abdominal pain,vomiting,nausea,side pain,upper abdominal pain"
ischemic heart disease,"shortness of breath,sharp chest pain,dizziness,chest tightness,palpitations,throat feels tight,peripheral edema,muscle pain,difficulty breathing,lymphedema"
esophagitis,"shortness of breath,chest tightness,sore throat,sharp abdominal pain,vomiting,burning abdominal pain"
fungal infection of the hair,"skin swelling,abnormal appearing skin,acne or pimples,skin growth,pelvic pain"
marijuana abuse,"anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol,drug abuse,low self-esteem"
pyelonephritis,"suprapubic pain,painful urination,frequent urination,lower abdominal pain,back pain,low back pain"
hirschsprung disease,"emotional symptoms,sharp abdominal pain"
eustachian tube dysfunction (ear disorder),"sore throat,nasal congestion,ringing in ear,plugged feeling in ear,abnormal breathing sounds"
fracture of the rib,"shortness of breath,sharp chest pain,side pain,ache all over,rib pain,back mass or lump,hurts to breath"
presbyopia,"diminished vision,abnormal movement of eyelid,foreign body sensation in eye,spots or clouds in vision"
hyperhidrosis,"cough,sweating"
pilonidal cyst,"skin swelling,pain of the anus,pelvic pain,bones are painful,ache all over"
